tabela,ato,faixa_min,faixa_max,emolumentos,tfj,valor_final,nota
1,escritura_conteudo_financeiro,0.00,1400.00,159.20,61.35,220.55,
1,escritura_conteudo_financeiro,1400.01,2720.00,259.68,100.08,359.76,
1,escritura_conteudo_financeiro,2720.01,5440.00,376.34,145.01,521.35,
1,escritura_conteudo_financeiro,5440.01,7000.00,520.99,200.76,721.75,
1,escritura_conteudo_financeiro,7000.01,14000.00,694.78,267.69,962.47,
1,escritura_conteudo_financeiro,14000.01,28000.00,897.58,345.89,1243.47,
1,escritura_conteudo_financeiro,28000.01,42000.00,1129.02,435.05,1564.07,
1,escritura_conteudo_financeiro,42000.01,56000.00,1389.81,535.50,1925.31,
1,escritura_conteudo_financeiro,56000.01,70000.00,1679.40,647.11,2326.51,
1,escritura_conteudo_financeiro,70000.01,105000.00,2113.64,814.42,2928.06,
1,escritura_conteudo_financeiro,105000.01,140000.00,2540.87,1180.65,3721.52,
1,escritura_conteudo_financeiro,140000.01,175000.00,2717.08,1262.61,3979.69,
1,escritura_conteudo_financeiro,175000.01,210000.00,2893.66,1344.66,4238.32,
1,escritura_conteudo_financeiro,210000.01,280000.00,3070.72,1701.35,4772.07,
1,escritura_conteudo_financeiro,280000.01,350000.00,3155.22,1748.31,4903.53,
1,escritura_conteudo_financeiro,350000.01,420000.00,3240.20,1795.39,5035.59,
1,escritura_conteudo_financeiro,420000.01,560000.00,3325.70,2197.44,5523.14,
1,escritura_conteudo_financeiro,560000.01,700000.00,3508.36,2318.34,5826.70,
1,escritura_conteudo_financeiro,700000.01,840000.00,3691.51,2439.36,6130.87,
1,escritura_conteudo_financeiro,840000.01,1120000.00,3875.31,2991.22,6866.53,
1,escritura_conteudo_financeiro,1120000.01,1400000.00,4197.56,3240.08,7437.64,
1,escritura_conteudo_financeiro,1400000.01,1680000.00,4520.42,3489.30,8009.72,
1,escritura_conteudo_financeiro,1680000.01,3200000.00,4844.02,3738.95,8582.97,
1,escritura_conteudo_financeiro,3200000.01,,,,,"Nota XXV: +3289.90 (1a faixa) e +2193.27 por faixa de 500000; TFJ 4673.83"
1,escritura_sem_conteudo_financeiro,,,55.45,17.45,72.90,
1,procuracao_generica_por_outorgante,,,52.43,16.51,68.94,
1,procuracao_previdenciaria,,,27.86,8.75,36.61,
1,procuracao_conteudo_financeiro,,,166.18,52.23,218.41,
1,substabelecimento,,,34.96,11.00,45.96,
1,reconhecimento_firma_por_assinatura,,,8.55,2.66,11.21,
1,autenticacao_copia_por_folha,,,8.55,2.66,11.21,
1,autenticacao_eletronica,,,10.01,2.98,12.99,
1,ata_notarial_ate_2_folhas,,,166.18,52.24,218.42,
1,ata_notarial_folha_adicional,,,8.55,2.66,11.21,
1,testamento_publico,,,332.64,104.60,437.24,
1,revogacao_testamento,,,166.29,52.34,218.63,
1,aprovacao_testamento_cerrado,,,498.82,156.88,655.70,
1,pacto_divorcio_uniao_estavel,,,498.82,156.86,655.68,
1,convencao_condominio,,,132.88,41.80,174.68,
4,registro_conteudo_financeiro,0.00,3200000.00,,,,"Mesma grade da Tabela 1 escritura_conteudo_financeiro (220.55 a 8582.97)"
4,registro_sem_conteudo_financeiro,,,26.16,8.23,34.39,
4,matricula_ou_cancelamento,,,69.42,21.83,91.25,
4,prenotacao,,,53.11,10.72,63.83,
4,exame_e_calculo,,,88.93,17.96,106.89,
4,certidao_situacao_juridica_atualizada,,,137.70,21.45,159.15,
4,usucapiao_extrajudicial_processamento,,,2571.61,541.95,3113.56,"Acresce o registro pelo item 5.e"
4,averbacao_padrao,,,27.60,8.67,36.27,
4,cancelamento_onus,0.00,1400.00,,,36.27,
4,cancelamento_onus,1400.01,5000.00,33.20,10.35,43.55,
4,cancelamento_onus,5000.01,20000.00,66.45,20.69,87.14,
4,cancelamento_onus,20000.01,,110.78,34.47,145.25,
4,penhora_arresto,0.00,1400.00,18.97,5.90,24.87,
4,penhora_arresto,1400.01,5000.00,22.74,7.09,29.83,
4,penhora_arresto,5000.01,20000.00,45.52,14.17,59.69,
4,penhora_arresto,20000.01,,75.88,23.61,99.49,
4,intimacao_por_pessoa,,,159.19,61.35,220.54,
7,registro_nascimento_obito_1a_certidao,,,0.00,0.00,0.00,"Gratuito - Lei 9.534/97",
7,habilitacao_casamento,,,313.50,47.19,360.69,
7,assento_casamento,,,83.44,10.72,94.16,
7,certidao_resumo_negativa,,,53.11,10.72,63.83,
7,certidao_inteiro_teor,,,106.20,21.44,127.64,
7,termo_uniao_estavel,,,498.83,156.86,655.69,
8,arquivamento_por_folha,,,10.22,3.21,13.43,
8,busca_5_anos,,,7.21,2.24,9.45,
8,certidao_inteiro_teor_resumo,,,30.36,10.72,41.08,
